,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,2,17,1,9,4,2,0.8200000000000001,0.202,0.26729841188154085,-2.0,-3.0,1.4587,4.61,3,1.0,0.5272727272727271,0.7478067233654389,1.0,3.741137079569227,1,0.4992304871394478,0.4000000000000001,-1.0,1.3999999999999997,7.8,2.0,5.8,20.2,1.2512756620686134,0.136,0.1214,0.1056,0.5272727272727271,0.17492554932524884,0.7644000000000001,0.6533217951892325,0.5422435903784649,1,17,Sunderland,5.5,4.2,1.65,,,,5.75,3.9,1.62,51.0,34.0,-1.0,2.04,1.77,5.59,1.82,2.03,4.05,1.62,2.12,1.85,5.9,1.88,2.1,4.33,1.7,46.0,-1.0,0.2067,0.2115,0.2168,0.22303007538969227,05/11/16,E0,0,2,1,A,0.6769880443690024,,,,-1,-2.0,12,14,0.3015,0,22,7,1,1,D,3,-1.0,0.6943,0.9442864562505432,-1.75,-2.0,1.8758,-1.0,0,0.0,0.4727272727272727,2.0291632012448693,5.0,5.295003403790611,-10,0.9686089456665634,1.8,1.0,0.8000000000000002,12.6,4.0,3.7999999999999994,12.6,0.8902941041789002,0.6572,0.6671,0.6776,0.4727272727272727,0.6020443752850589,1.9752999999999998,1.8845276318331377,1.7937552636662755,1.0,0,8,Bournemouth,5.3,3.8,1.65,5.5,4.2,1.62,1.22,12.53,4.08,1.4799999999999998,14.14,4.54,0.5161,0.4659,0.4135,0.77,0.5354330708661418,5.78,5.61,4.4,1.63,4.27,1.63,M Dean,-1,,,,,,,0.4839,0.5341,0.5865,-1.0,0.4645669291338583,5.75,4.0,1.65,6.0,3.6,1.67,11,0.5216026394843096,0.589117525,0.608480185,0.62954656,17,1.2108999999999996,red,2.04555,0.8298974,-1.2156527,0.2156527042388916,1.104843386121128,0.9011039237698402,-0.20373946235128781,-0.7962605376487122,1.8407316,0.6351603,-1.2055713,0.20557129383087158,-0.12501217985964966,0.12617392203325015,0.21630851630842174,0.6575175616583282,0.1435005,0.22451326,0.6319862,0.6715459,0.22645831,0.10199574,0.597950679211933,0.5664989443403337,0.6286927651799381,0.6536832284080006,0.222426696633218,0.12389005509056643,0.5974351819288181
1,7,12,0,16,5,2,-1.0,0.4747,0.23577554658242997,-1.0,-2.0,2.0121,-1.0,0,0.0,0.49740932642487046,1.5837523587220903,1.0,4.241321945787062,-10,1.0845914578641966,1.3999999999999997,-0.20000000000000004,1.6000000000000003,15.0,3.7999999999999994,4.0,14.6,0.9848544288026884,0.2982,0.3975,0.5,0.49740932642487046,0.4280058027290278,1.0448000000000002,1.275359460493214,1.5059189209864277,0,1,Crystal Palace,2.38,3.3,3.3,,,,2.35,3.25,3.2,51.0,31.0,0.25,1.68,2.17,2.31,1.94,1.92,3.25,3.32,1.76,2.25,2.4,2.0,1.97,3.37,3.5,46.0,-1.0,0.2773,0.2754,0.2601,0.2997349505350072,05/11/16,E0,0,2,3,H,1.7005305067056795,,,,1,1.25,4,11,0.3015,0,14,7,0,2,H,1,0.9199999999999999,0.9673,1.9363060532881096,2.0,0.0,1.4768,2.6,3,1.0,0.5025906735751295,1.116512690742902,4.0,2.065789131427575,1,0.6580645128123337,1.1666666666666667,0.5,0.6666666666666666,9.666666666666666,2.5,5.166666666666667,17.333333333333332,1.1309283705532225,0.4245,0.3271,0.2399,0.5025906735751295,0.2722592467359649,1.3035999999999999,1.1298523006548782,0.9561046013097565,-0.25,1,0,Burnley,2.4,3.3,2.95,2.38,3.25,3.25,1.2277227722772277,12.495049504950495,4.079207920792079,1.475247524752475,14.217821782178218,4.564356435643564,0.4168,0.4317,0.4464,1.17,0.4363636363636364,2.32,2.29,3.27,3.6,3.37,3.42,A Taylor,1,,,,,,,0.5832,0.5683,0.5536,-1.0,0.5636363636363637,2.3,3.3,3.5,2.4,3.1,3.3,11,0.3563977855655124,0.21006174500000002,0.3054003300000001,0.413876005,17,0.2587999999999997,green,1.0335424,1.3267581,0.29321575,-0.04321575164794922,1.1006819933469605,0.9059037170017348,-0.1947782763452257,0.4447782763452257,0.9302561,1.3577532,0.42749703,-0.1774970293045044,0.07468849846425736,0.33998722761148814,0.30928302582310646,0.3507297465654053,0.35741854,0.3475335,0.295048,0.2226093,0.32333222,0.45405853,0.2685715884669843,0.3123526569536499,0.4052527060923794,0.28946234714494273,0.3267162467910416,0.3838214308992843,0.32609131393886603
2,2,16,0,1,0,3,-1.0,1.2039,0.7850754783068291,1.0,2.0,2.0908,-1.0,0,0.0,0.49610389610389616,0.6108883730744883,5.0,6.368814385571552,-10,1.2100305670956193,1.3999999999999997,0.4000000000000001,1.0,13.800000000000002,5.599999999999999,3.6,12.4,0.7890973754013683,0.1778,0.1996,0.2226,0.49610389610389616,0.13265169099733354,0.8540000000000003,0.9062565210300382,0.9585130420600761,0,2,Everton,7.0,4.33,1.53,,,,6.25,4.2,1.53,50.0,34.0,-1.0,2.18,1.68,6.23,1.94,1.91,4.22,1.56,2.26,1.75,7.0,2.0,1.95,4.5,1.64,45.0,-1.0,0.2315,0.2402,0.248,0.21293330008248768,05/11/16,E0,0,0,5,H,0.820217100257871,,,,5,4.0,4,5,0.3015,0,21,9,0,3,H,0,0.9099999999999999,1.2368,1.6052925785647,1.75,2.0,2.6743,0.5,3,1.0,0.5038961038961038,2.176178326843024,12.0,7.475272832027454,1,1.3813300991204804,2.6,2.0,0.6,16.0,6.400000000000001,2.6,9.4,0.6412558082306791,0.5907,0.5602,0.5294,0.5038961038961038,0.6544150089201788,1.7719,1.6981098101881873,1.6243196203763748,1.0,1,9,Chelsea,6.2,4.0,1.55,6.5,4.2,1.55,1.2352941176470589,12.529411764705882,4.088235294117647,1.4901960784313726,14.215686274509801,4.588235294117647,0.4881,0.4827,0.4773,0.6799999999999999,0.5647668393782384,6.47,7.4,4.61,1.5,4.37,1.57,R Madley,5,,,,,,,0.5119,0.5173,0.5227,-1.0,0.4352331606217616,6.5,4.33,1.57,7.0,3.75,1.57,11,0.06851272859204609,0.099569665,0.11663209999999997,0.13550756000000003,17,0.9178999999999997,green,1.9189569,0.7819789,-1.1369779,0.1369779109954834,1.1057291539741454,0.902025594590776,-0.20370355938336937,-0.7962964406166306,1.7819729,0.7103262,-1.0716467,0.07164669036865234,-0.19589061308416497,0.11021076013596337,0.1715598548615648,0.7182293850024718,0.14616804,0.3284856,0.5253464,0.6060741,0.2417294,0.1521965,0.045770545562916064,0.12333056194652414,0.08917069848031478,0.6165499593761291,0.24725828552129114,0.1361917650366872,0.08279106390618464
3,2,15,0,5,3,3,0.8500000000000001,1.0066,1.1284752753130605,1.75,2.0,1.4952,-1.0,1,1.0,0.5194805194805195,0.32928118583949456,5.0,4.430757243319226,1,0.6394689676606755,0.8000000000000002,-0.20000000000000004,1.0,8.4,2.4,4.0,14.0,0.8555191799430799,0.0573,0.0694,0.0841,0.5194805194805195,0.06647253885262523,0.46430000000000016,0.4490344389965307,0.43376887799306135,0,5,Middlesbrough,15.0,7.0,1.22,,,,14.5,6.75,1.2,51.0,35.0,-2.0,2.56,1.49,14.35,1.85,2.0,6.6,1.22,2.7,1.55,17.0,1.91,2.06,7.35,1.27,42.0,6.55,0.1497,0.178,0.2134,0.12986356928161885,05/11/16,E0,1,1,1,D,-0.5053313702473512,,,,0,-2.0,8,7,0.3015,0,25,7,0,1,H,1,-1.0,1.0309,0.6231439050657093,3.0,4.0,3.0422,-1.0,1,0.0,0.4805194805194806,2.540855244878887,5.0,8.023828780725633,-10,1.3569562102149115,2.2,1.3999999999999997,0.8000000000000002,18.2,6.400000000000001,2.2,6.2,0.554505163879619,0.7931,0.7526,0.7024,0.4805194805194806,0.8036638918657559,2.3370999999999995,2.0533151654200568,1.7695303308401138,2.0,0,4,Man City,15.0,6.5,1.2,15.0,6.5,1.22,1.2233009708737863,12.41747572815534,4.048543689320389,1.5242718446601942,14.281553398058252,4.631067961165049,0.5309,0.4568,0.3782,-1.0,0.6320987654320989,14.22,14.75,7.55,1.22,7.16,1.23,K Friend,0,,,,,,,0.4691,0.5432,0.6218,1.56,0.36790123456790125,15.0,7.0,1.22,13.0,6.5,1.22,11,0.3251471247551636,0.31613972500000004,0.28561156000000004,0.2502277,17,1.8727999999999994,yellow,2.647877,0.25992537,-2.3879516,0.3879516124725342,1.1080915503517206,0.9012724060539408,-0.2068191442977798,-1.7931808557022202,2.2547913,0.43970722,-1.815084,-0.18491601943969727,-0.5300484208897944,0.06295062918554413,0.12391788018382022,0.8131314906306357,0.03360443,0.1353034,0.8310922,0.7559822,0.19521128,0.04880646,0.33257280138502776,0.3459217336455743,0.28694559599656444,0.8000686298750272,0.15147751653405173,0.04845383868975992,0.3212287942189569
4,4,10,0,12,4,1,0.8700000000000001,0.3229,1.8655837745185955,1.25,2.0,1.8545,-1.0,1,1.0,0.5130208333333333,0.9824652036122673,10.0,5.360252451048707,1,0.8427484414915425,1.0,-0.4000000000000001,1.3999999999999997,10.0,3.6,6.0,16.0,1.1309631206808488,0.3632,0.3474,0.3289,0.5130208333333333,0.23496627159561678,1.5876000000000001,1.401665365142022,1.2157307302840437,0,12,Stoke,4.0,3.6,2.0,,,,3.8,3.5,2.0,51.0,30.0,-0.5,2.1,1.73,3.87,1.87,1.97,3.52,2.0,2.21,1.8,4.2,1.93,2.02,3.68,2.05,46.0,2.53,0.2316,0.2456,0.2629,0.27756638882541695,05/11/16,E0,1,1,1,D,-0.6515170508051447,,,,0,-0.5,6,11,0.3015,0,9,2,0,0,D,4,-1.0,0.2669,1.2140667237134508,-1.0,-2.0,1.7087,-1.0,1,0.0,0.4869791666666667,1.7399684075623156,7.0,5.76574570678388,-10,0.8063411137025163,1.0,-0.6,1.6000000000000003,17.2,2.4,5.400000000000001,11.6,1.1813240751448126,0.4052,0.407,0.4083,0.4869791666666667,0.4874673395789662,1.6873,1.5363752203905312,1.3854504407810624,0.5,0,18,West Ham,3.8,3.4,2.0,3.8,3.5,2.05,1.2211538461538463,12.346153846153847,4.038461538461538,1.5192307692307692,14.384615384615385,4.653846153846154,0.6355,0.5628,0.4819,-1.0,0.5483028720626633,4.13,4.17,3.53,2.01,3.59,2.0,A Marriner,0,,,,,,,0.3645,0.4372,0.5181,1.1,0.4516971279373368,3.9,3.6,2.05,4.0,3.3,2.05,11,0.14641677797187017,0.14805064,0.14316788,0.137409165,17,0.0996999999999999,yellow,1.5347902,1.1686817,-0.36610842,-0.13389158248901367,1.1017602111050282,0.9040423583866274,-0.1977178527184008,-0.3022821472815992,1.6018963,1.0103252,-0.5915711,0.09157109260559082,-0.11486754572167401,0.24293060205098352,0.2873486471303458,0.46972075081867076,0.23638989,0.31096524,0.45264485,0.4133447,0.27748078,0.3091745,0.13982643058125452,0.13038377592483474,0.133221363236939,0.4452367722226583,0.29193155607012095,0.262831666740167,0.13365813549583178
5,2,17,0,10,3,2,0.625,1.7004,0.851684882982385,-1.0,0.0,1.9664,-1.0,1,0.75,0.42602040816326525,0.96922836155208,6.0,7.044859102100672,1,1.4014675052410903,1.6000000000000003,1.0,0.6,17.6,5.8,3.0,9.8,0.5985075081663498,0.2333,0.4083,0.5838,0.42602040816326525,0.23315433747077868,0.9147999999999998,1.3948701136997923,1.8749402273995845,0,14,Tottenham,4.2,3.6,1.95,,,,3.9,3.6,1.95,51.0,30.0,-0.25,2.06,1.76,4.11,2.25,1.67,3.53,1.94,2.16,1.85,4.4,2.35,1.71,3.71,2.03,46.0,2.63,0.2636,0.2617,0.2237,0.269765349139744,06/11/16,E0,1,1,1,D,0.19598190555278394,,,,0,-0.25,7,11,0.3015,0,15,2,0,1,H,1,-0.5,1.0516,1.047666788535169,2.0,3.0,2.8772,-1.0,1,0.25,0.5739795918367347,1.7610062893081762,10.0,9.545019570565792,-10,1.0760090114247638,2.2,0.8000000000000002,1.3999999999999997,13.0,4.6,4.8,12.0,1.0974474253144653,0.503,0.33,0.1925,0.5739795918367347,0.4970803133894774,1.4783000000000004,1.2267496003742253,0.9751992007484501,0.25,0,7,Arsenal,3.8,3.4,2.0,4.2,3.5,1.95,1.2190476190476192,12.342857142857143,4.038095238095238,1.5142857142857142,14.333333333333334,4.628571428571429,0.4285,0.487,0.5424,-1.0,0.5392670157068064,4.35,4.2,3.63,1.97,3.59,1.95,M Clattenburg,0,,,,,,,0.5715,0.513,0.4576,1.06,0.46073298429319376,4.2,3.5,1.95,4.33,3.2,2.0,11,0.15072489152040938,0.15374227999999998,0.13780444499999997,0.188939345,17,0.5635000000000006,yellow,1.3725338,1.2617993,-0.11073446,-0.1392655372619629,1.1010452966588051,0.9067663543929991,-0.194278942265806,-0.055721057734194,1.2649562,1.1216007,-0.14335549,-0.10664451122283936,-0.10054370207299874,0.269335059048826,0.2830065846720075,0.4476583562791664,0.24880184,0.37382615,0.37737203,0.38490838,0.2884994,0.3265922,0.13646968898969986,0.10215599783746399,0.12740847433017644,0.40331292028229493,0.3151107053054285,0.28157636944522274,0.12097328314689768
6,10,15,0,19,7,5,-1.0,1.224,0.9292388076770838,-1.75,-2.0,1.7246,-1.0,0,0.0,0.4285714285714286,1.9877496224198692,5.0,5.380748155039959,-10,0.9741783066951255,1.0,-0.0,1.0,11.800000000000002,4.4,2.4,13.0,0.7010839085418463,0.663,0.6936,0.7206,0.4285714285714286,0.5789562007048162,1.7246,1.9041151394010067,2.083630278802014,0,6,Southampton,1.7,3.8,5.75,,,,1.65,3.8,5.5,51.0,34.0,1.0,1.73,2.1,1.7,2.24,1.68,3.71,5.46,1.8,2.2,1.81,2.36,1.73,3.9,5.75,46.0,-1.0,0.226,0.2044,0.1855,0.2508810203054204,06/11/16,E0,0,1,2,H,-0.9292388076770838,,,,1,2.0,1,13,0.3015,0,6,2,1,0,A,0,0.6799999999999999,0.0,0.0,-0.0,-1.0,1.4627,4.75,3,1.0,0.5714285714285715,0.7613693572747104,0.0,3.5103894251416667,1,0.5628106125970663,0.6,-1.3999999999999997,2.0,9.0,2.7999999999999994,7.599999999999999,21.0,1.7575122488827173,0.111,0.1021,0.0939,0.5714285714285715,0.17016277898976337,0.5401999999999999,0.5678943124893451,0.5955886249786903,-1.0,1,3,Hull,1.65,3.8,5.3,1.7,3.8,5.5,1.2169811320754718,12.320754716981133,4.028301886792453,1.5094339622641513,14.339622641509434,4.60377358490566,0.3946,0.449,0.5013,1.1,0.4516971279373368,1.7,1.69,3.9,5.75,3.88,5.73,G Scott,1,,,,,,,0.6054,0.551,0.4987,-1.0,0.5483028720626633,1.7,3.75,5.75,1.7,3.6,5.5,11,0.5119100478542739,0.6149450000000001,0.64358333,0.6701407850000001,17,-1.1844000000000001,green,0.86836755,1.3042681,0.43590057,0.5640994310379028,1.1019494720388214,0.9061944627560988,-0.1957550092827226,1.1957550092827227,0.94539607,1.5279336,0.58253753,0.41746246814727783,0.7257723028226345,0.5918314430400193,0.21297616705471203,0.1951923899052687,0.5550744,0.25662225,0.18830337,0.1633954,0.3082602,0.52834445,0.49898987311861237,0.4834794956039492,0.4895275230309437,0.18229705367479546,0.25928620810367636,0.5584167630567968,0.4902336809774455
7,6,8,0,11,5,2,0.5700000000000001,0.8187,0.6606344488164488,-3.0,-4.0,1.6211,4.65,3,1.0,0.6104218362282877,0.7837081812774302,2.0,3.027392839690807,1,0.8056943342719363,0.8000000000000002,-0.20000000000000004,1.0,11.4,3.2000000000000006,4.0,13.199999999999998,0.8397583566216156,0.2578,0.2644,0.2708,0.6104218362282877,0.17343214957477934,0.9852,0.9096914800846985,0.8341829601693971,1,16,West Brom,5.25,3.6,1.8,,,,4.75,3.6,1.78,51.0,34.0,-1.0,1.7,2.14,5.11,1.57,2.46,3.55,1.78,1.77,2.26,5.49,1.61,2.58,3.75,1.85,46.0,-1.0,0.2661,0.2856,0.3086,0.2634117325530923,06/11/16,E0,0,2,1,A,0.4244996390979616,,,,-1,-2.0,5,8,0.3015,0,5,2,0,0,D,0,-1.0,0.6359,1.0851340879144105,1.0,0.0,1.959,-1.0,0,0.0,0.3895781637717121,1.952880086169477,5.0,4.607725492809672,-10,0.8797830953652273,1.6000000000000003,1.2,0.4000000000000001,12.199999999999998,3.6,4.2,12.6,0.8521801816564446,0.4761,0.45,0.4206,0.3895781637717121,0.5631561178721283,1.4418000000000002,1.2801824459265225,1.1185648918530449,1.0,0,11,Leicester,4.8,3.6,1.75,5.2,3.6,1.75,1.2149532710280373,12.383177570093459,4.05607476635514,1.5140186915887852,14.261682242990654,4.579439252336448,0.4373,0.3746,0.3105,1.1400000000000001,0.44270833333333337,5.49,5.65,3.72,1.74,3.63,1.78,C Pawson,-1,,,,,,,0.5627,0.6254,0.6895,-1.0,0.5572916666666667,5.2,3.6,1.8,5.5,3.3,1.8,11,0.500179612226688,0.38876602499999996,0.37180368,0.3543185,17,0.45660000000000023,red,1.4552629,0.73649883,-0.71876407,-0.281235933303833,1.1020387820195592,0.9022951148957737,-0.19974366712378544,-0.8002563328762146,1.3488388,0.80841744,-0.54042137,-0.45957863330841064,-0.5136902998294861,0.16485124976646923,0.24863078898890326,0.5865179612446276,0.12694241,0.23848143,0.63457614,0.51676613,0.25939086,0.22384296,0.5207383769395915,0.5824582036814641,0.43473345493327153,0.5792867446677038,0.24883436066145204,0.17187887480262923,0.5106788488196441
8,3,10,0,11,8,2,-1.0,0.7334,1.395044583799524,0.0,1.0,2.0536,-1.0,0,0.0,0.5862944162436549,0.402686499203157,8.0,5.734583749439255,-10,0.8074374134315754,1.2,0.20000000000000004,1.0,8.8,3.2000000000000006,4.4,15.4,0.9352200905951549,0.1503,0.1062,0.061,0.5862944162436549,0.08223419594748427,1.2157,0.8527974270284852,0.48989485405697025,0,15,Watford,12.0,6.0,1.29,,,,11.0,6.0,1.26,51.0,33.0,-2.0,2.44,1.54,11.25,1.63,2.31,5.9,1.28,2.55,1.6,13.0,1.68,2.41,6.4,1.37,41.0,-1.0,0.1707,0.1635,0.1517,0.15598391136070425,06/11/16,E0,0,1,6,H,-0.16113162050784569,,,,5,3.0,6,14,0.3015,0,28,17,0,3,H,1,1.31,0.8379,1.2339129632916783,1.0,2.0,3.1169,0.29000000000000004,3,1.0,0.4137055837563452,2.4413295894361386,10.0,8.104299328635996,1,1.6570899713810243,2.75,2.0,0.75,19.75,8.25,1.5,6.75,0.4964137848242219,0.679,0.7303,0.7874,0.4137055837563452,0.7617818926918115,2.6849999999999996,2.511982614837793,2.338965229675586,2.0,1,19,Liverpool,9.5,5.5,1.3,11.0,6.0,1.29,1.2222222222222223,12.370370370370372,4.064814814814815,1.5092592592592593,14.175925925925926,4.555555555555555,0.747,0.6534,0.5374,0.54,0.6130653266331658,11.8,11.95,6.3,1.29,6.19,1.29,M Oliver,5,,,,,,,0.253,0.3466,0.4626,-1.0,0.3869346733668342,13.0,6.25,1.29,13.0,5.0,1.3,11,0.031755164816312416,0.06281554499999997,0.042008265000000024,0.024453785000000002,17,1.4692999999999996,green,2.3604245,0.56854266,-1.7918818,-0.20811820030212402,1.1094138173944768,0.9004919826720313,-0.2089218347224454,-1.7910781652775545,2.259332,0.45107406,-1.8082578,-0.1917421817779541,-0.7303128491192109,0.08622209245451047,0.12141083320690609,0.7923670743385836,0.07287824,0.07436577,0.852756,0.7771559,0.18507963,0.037764464,0.02527284052297671,0.013496010651445706,0.025542830104372527,0.807426324635078,0.12695207990114363,0.06562159918906872,0.020695407117383068
9,0,16,0,9,3,2,1.31,1.078,0.4229507996384299,-2.0,0.0,1.9124,0.69,3,1.0,0.41518987341772146,1.982871386101338,3.0,7.093023591785676,1,1.1171986932099085,1.0,-0.6,1.6000000000000003,15.6,4.8,3.7999999999999994,10.0,0.8253326361548468,0.498,0.5462,0.5884,0.41518987341772146,0.580072440249776,1.3293000000000001,1.5584730380642156,1.7876460761284307,1,10,Man United,1.73,4.0,5.0,,,,1.72,3.9,4.75,51.0,34.0,1.0,2.02,1.79,1.74,2.31,1.64,3.87,4.82,2.1,1.86,1.81,2.38,1.68,4.2,5.3,46.0,-1.0,0.2839,0.2551,0.2303,0.24265406535201026,06/11/16,E0,0,3,1,A,-0.12915562679772002,,,,-2,-1.0,2,9,0.3015,0,6,1,3,0,A,0,-1.0,0.5831,0.2937951728407099,-1.25,-2.0,1.5518,-1.0,0,0.0,0.5848101265822784,0.7744745485466512,1.0,3.4037318936556553,-10,0.6855213955728205,0.8000000000000002,-1.0,1.8,10.2,3.6,4.6,17.2,1.3113722155720389,0.2181,0.1987,0.1813,0.5848101265822784,0.17727349439821366,0.7753,0.8262617317097453,0.8772234634194905,-1.0,0,13,Swansea,1.65,3.8,5.3,1.75,3.8,5.0,1.2201834862385321,12.357798165137615,4.10091743119266,1.5504587155963303,14.302752293577981,4.669724770642202,0.3516,0.4263,0.4977,0.79,0.5301837270341206,1.76,1.69,4.04,5.53,4.01,4.94,N Swarbrick,-2,,,,,,,0.6484,0.5737,0.5023,-1.0,0.46981627296587924,1.73,4.0,5.0,1.73,3.75,5.0,11,0.10388252362696568,0.149785805,0.12270806499999999,0.10114212499999997,17,-0.5540000000000002,red,1.0346737,2.383159,1.3484852,-0.34848523139953613,1.1002420849264263,0.908418192965429,-0.19182389196099725,1.1918238919609974,0.9136191,1.5743312,0.66071206,0.3392879366874695,0.3942088657496436,0.5768124720457586,0.2238089934130501,0.19937853454119142,0.5991378,0.1592576,0.24160466,0.14980394,0.296592,0.5536041,0.1094197419259075,0.10953168130462176,0.11085527447251664,0.196929042334577,0.22655286541051303,0.5765181270242861,0.10905898695111729
