,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,Unnamed: 70,Unnamed: 71,Unnamed: 72,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,3,15,0,5,2,0,-1.0,0.0,1.2113759287897272,1.25,2.0,2.4426,-1.0,0,0.0,0.5142857142857141,0.19347459011928758,7.0,5.778552993861803,-10,1.4298772053033688,2.2,-0.20000000000000004,2.4,14.4,6.400000000000001,4.4,12.199999999999998,1.0558050743296035,0.0171,0.0439,0.0908,0.5142857142857141,0.03929952611798029,0.4938,0.7534187336074307,1.0130374672148614,0,7,Stuttgart,21.0,11.0,1.1,,,,17.5,9.75,1.12,42,23.0,-2.75,4.08,1.23,22.2,1.87,1.98,9.96,1.11,4.4,1.28,34.0,1.91,2.05,12.46,1.13,30,-1.0,0.0961,0.1118,0.1405,0.07557601176534672,07/11/15,D1,0,0,4,H,-0.21351220531685533,,,,4,1.25,7,8,0.1288,0,33,14,0,4,H,0,0.98,1.9488,0.9978637234728719,-2.0,0.0,3.7895,0.1100000000000001,3,1.0,0.4857142857142857,2.730949398115366,10.0,10.021408499746771,1,1.954852709263927,4.0,3.5,0.5,20.166666666666668,10.0,2.3333333333333335,6.666666666666667,0.5133903236218406,0.8868,0.8443,0.7687,0.4857142857142857,0.8851244621166731,3.9183,3.4967878404558315,3.0752756809116626,2.75,1,0,Bayern Munich,16.0,8.0,1.12,23.0,10.0,1.11,1.38,11.35,4.32,1.49,14.13,5.01,0.8163,0.7963,0.7746,0.22999999999999998,0.768361581920904,22.4,25.0,13.0,1.11,12.4,1.12,4,,,,,,,0.1837,0.2037,0.2254,-1.0,0.23163841807909605,,,,26.0,12.0,1.09,26.0,8.0,1.11,11,0.007370420978540747,0.006553324999999995,0.01308484999999999,0.030872164999999983,16,3.4245,green,3.3131518,0.96262145,-2.3505304,-0.39946961402893066,1.1031206330838599,1.0978828841014898,-0.005237748982370061,-2.74476225101763,2.547068,0.8373856,-1.7096825,-1.0403175354003906,-1.3948498001489835,0.07529940435473371,0.20485741422319312,0.7198431814220728,0.0748809,0.17699961,0.7481195,0.80186677,0.13533226,0.06280101,0.04207892164594167,0.03452547538407125,0.02160036960252798,0.7566098082233529,0.17239642814048098,0.07099377108674661,0.03213944996415044
1,2,18,0,8,3,2,0.0,0.9611,0.8507800140461764,-1.5,-1.0,1.8101,-1.0,1,0.5,0.4947916666666667,1.3080492878860621,4.0,4.701567895297195,0,0.8794945814747248,1.0,-0.6666666666666666,1.6666666666666667,11.333333333333334,3.6666666666666665,4.0,13.166666666666666,0.9141030132773589,0.2313,0.3851,0.5291,0.4947916666666667,0.336968200626386,0.6726000000000001,1.0877918208982191,1.5029836417964382,0,12,Hamburg,2.8,3.0,2.75,,,,2.7,3.05,2.7,42,24.0,0.0,1.57,2.38,2.74,1.94,1.9,3.12,2.7,1.65,2.51,2.9,2.01,1.98,3.3,2.85,34,2.3,0.3288,0.3045,0.2616,0.297144686006904,07/11/15,D1,1,1,1,D,-0.05685678732963628,,,,0,0.0,3,14,0.1288,0,15,3,1,0,A,4,0.0,1.1375,0.7939232267165401,-1.25,-2.0,1.8828,-1.0,1,0.5,0.5052083333333333,1.3948060261070345,3.0,3.7787029010439954,0,0.6047774896594689,1.0,-0.6666666666666666,1.6666666666666667,8.833333333333334,2.8333333333333335,5.0,15.333333333333334,1.2507294416499406,0.4399,0.3104,0.2094,0.5052083333333333,0.36588711336671015,1.0505,0.9439768595345825,0.8374537190691652,-0.0,0,2,Darmstadt,2.6,3.2,2.6,2.75,3.0,2.7,1.3663366336633664,11.287128712871286,4.297029702970297,1.5148514851485146,14.316831683168317,5.099009900990099,0.2489,0.3319,0.4147,-1.0,0.39746835443037976,2.9,2.91,3.3,2.68,3.18,2.77,0,,,,,,,0.7511,0.6681,0.5853,0.5700000000000001,0.6025316455696202,,,,2.8,3.25,2.7,2.7,3.1,2.7,11,0.12371047398060402,0.12350585,0.122325085,0.16184467999999996,16,0.3778999999999999,yellow,1.2350439,1.2949765,0.05993259,-0.059932589530944824,1.099787680074902,1.0998270285122977,3.9348437395725355e-05,-3.9348437395725355e-05,1.1921076,1.2734468,0.08133924,-0.08133924007415771,-0.04710372601416609,0.3175426479653026,0.29777200982262003,0.38468534221207734,0.19096288,0.20611511,0.60292196,0.40422243,0.29879576,0.29698184,0.1244080728948196,0.19999086604388527,0.12579698415982143,0.46394324458292996,0.26756096040304933,0.26849579004696694,0.1436666630671737
2,3,13,0,17,9,3,0.495,0.7977,0.9296679829466556,2.0,0.0,2.3158,-1.0,1,0.75,0.4844559585492228,1.1470316388197657,4.0,4.302611333695376,1,0.9320606840259937,1.1666666666666667,-0.16666666666666666,1.3333333333333333,10.166666666666666,4.333333333333333,4.0,11.333333333333334,0.8128605952014576,0.4325,0.4896,0.5514,0.4844559585492228,0.29539992890152866,1.5288999999999997,1.5499226149774543,1.5709452299549087,0,10,Ein Frankfurt,3.4,3.6,2.1,,,,3.3,3.3,2.15,42,23.0,-0.25,2.22,1.65,3.3,1.99,1.87,3.5,2.14,2.33,1.72,3.5,2.03,1.92,3.77,2.2,36,2.76,0.2506,0.2545,0.2536,0.26083185211517956,07/11/15,D1,1,0,0,D,-0.5336383159024978,,,,0,-0.25,1,11,0.1288,0,8,2,0,0,D,1,-0.5,0.7869,0.3960296670441578,0.25,0.0,1.942,-1.0,1,0.25,0.5155440414507771,1.5921365090650552,2.0,5.050126711282459,-10,0.667040814782088,1.0,-0.8000000000000002,1.8,9.0,3.6,4.8,14.6,1.2368078309420492,0.3169,0.2559,0.1951,0.5155440414507771,0.4437682189832919,1.2731,1.0458662933040428,0.8186325866080856,0.25,0,14,Hoffenheim,3.3,3.3,2.1,3.2,3.5,2.15,1.3627450980392155,11.254901960784315,4.284313725490196,1.5098039215686274,14.323529411764705,5.078431372549019,0.531,0.4805,0.4276,-1.0,0.5736434108527132,3.38,3.32,3.76,2.21,3.71,2.2,0,,,,,,,0.469,0.5195,0.5724,1.2200000000000002,0.4263565891472868,,,,3.25,3.75,2.15,3.4,3.2,2.2,11,0.14209567508731552,0.14374093000000002,0.152596485,0.17099784999999992,16,-0.2557999999999998,yellow,1.3366058,1.6074898,0.27088404,-0.5208840370178223,1.099819545211028,1.0998942972737002,7.475206267226753e-05,-0.25007475206267227,1.2072545,1.2335168,0.026262283,-0.2762622833251953,-0.3490736908018966,0.30470492368355107,0.28023019500612933,0.4150648813103196,0.33177617,0.24733025,0.42089358,0.4249845,0.29436854,0.280647,0.13256197310707418,0.14361341685320372,0.12968727414701542,0.42031432524835255,0.27397632621407414,0.30570936840578816,0.13506116889612269
3,9,12,0,17,8,2,1.0899999999999999,0.7962,0.8837296327860376,-0.25,0.0,2.0721,5.42,3,1.0,0.4599483204134367,0.6816086989433563,4.0,4.526271216446187,1,1.0675945384303425,1.6000000000000003,-1.0,2.6,10.2,5.0,9.6,21.2,1.7052371964318866,0.2477,0.1303,0.068,0.4599483204134367,0.15240071422528376,0.8648999999999998,0.8933167639934478,0.921733527986896,1,11,FC Koln,6.5,4.33,1.5,,,,6.0,4.4,1.53,42,23.0,-1.0,2.24,1.64,6.54,2.09,1.78,4.42,1.48,2.35,1.7,7.0,2.14,1.83,4.75,1.53,35,-1.0,0.2846,0.1824,0.127,0.224406556267505,07/11/15,D1,0,2,1,A,-0.23918978996258256,,,,-1,-2.0,6,18,0.1288,1,12,4,1,1,D,1,-1.0,1.2072,0.644539842823455,-1.0,-1.0,1.9705,-1.0,0,0.0,0.5400516795865633,2.093984744789139,5.0,7.757472335763024,-10,1.2941581482676614,1.6000000000000003,0.4000000000000001,1.2,20.4,6.599999999999999,2.6,5.8,0.6397664570474146,0.4676,0.6873,0.805,0.5400516795865633,0.6231927295072114,1.3031,2.301328535551845,3.2995570711036897,1.0,0,4,Leverkusen,6.1,4.0,1.5,6.0,4.5,1.48,1.3495145631067962,11.310679611650485,4.330097087378641,1.4951456310679612,14.262135922330097,5.048543689320389,0.3687,0.619,0.7926,0.6399999999999999,0.577319587628866,6.89,6.42,4.36,1.57,4.72,1.51,-1,,,,,,,0.6313,0.381,0.2074,-1.0,0.4226804123711341,,,,6.5,4.75,1.5,6.5,4.2,1.5,11,0.5533968636782288,0.3922273,0.61437969,0.7583245000000001,16,0.43820000000000014,red,2.189242,1.1979954,-0.99124646,-0.008753538131713867,1.1037412527628159,1.0975389714290364,-0.006202281333779425,-0.9937977186662206,1.7226372,0.9953673,-0.7272699,-0.27273011207580566,-0.42509378962458005,0.15409889204153387,0.22263520777135018,0.6232659001871158,0.18571147,0.18997647,0.62431204,0.5245911,0.24793719,0.22747168,0.552004533390708,0.5264156539196333,0.4359978734511626,0.5907230105573671,0.2201829546686971,0.18909401490572084,0.503261079820587
4,3,22,1,8,0,3,-1.0,1.0792,1.3740475627204927,1.0,1.0,2.5316,-1.0,0,0.0,0.5142857142857141,1.6490659019405856,9.0,6.549991604497879,-10,0.9201622138811958,0.6,-1.0,1.6000000000000003,13.6,4.2,5.0,10.0,0.9038600854191672,0.4749,0.4841,0.4939,0.5142857142857141,0.4621349221816967,1.8729,1.7412145934420424,1.6095291868840849,0,8,Wolfsburg,2.15,3.6,3.3,,,,2.2,3.5,3.2,42,23.0,0.25,2.22,1.65,2.15,1.87,1.98,3.51,3.25,2.35,1.7,2.25,1.94,2.06,3.72,3.46,35,-1.0,0.2251,0.2358,0.2485,0.26266113539549524,07/11/15,D1,0,0,2,H,-0.5654389634919231,,,,2,2.25,4,24,0.1288,0,12,5,0,1,H,2,0.98,0.6587,0.8086085992285695,0.25,0.0,2.4028,2.56,3,1.0,0.4857142857142857,1.0882729626639198,4.0,4.946769059611892,1,0.8094115492730902,1.1666666666666667,-0.5,1.6666666666666667,12.0,4.0,6.0,14.166666666666666,1.2901751953900524,0.3,0.28,0.2576,0.4857142857142857,0.2752039424228082,1.4524000000000001,1.2713788113947673,1.0903576227895344,-0.25,1,5,Mainz,2.2,3.3,3.1,2.1,3.5,3.25,1.3557692307692308,11.365384615384615,4.365384615384615,1.4903846153846156,14.240384615384615,5.038461538461538,0.6456,0.5796,0.5063,-1.0,0.5736434108527132,2.16,2.12,3.73,3.56,3.72,3.46,2,,,,,,,0.3544,0.4204,0.4937,1.2200000000000002,0.4263565891472868,,,,2.15,3.7,3.3,2.2,3.2,3.4,11,0.3694490056896613,0.35776500499999997,0.37642482,0.3975474849999999,16,-0.4204999999999999,green,1.256453,1.5064559,0.25000286,-2.86102294921875e-06,1.0992332187588505,1.1005939249669294,0.0013607062080789323,0.24863929379192107,1.0544841,1.5056803,0.4511962,-0.20119619369506836,0.015813413024634498,0.41102850696247595,0.27052141944415875,0.31845007359336536,0.43286648,0.32457277,0.24256073,0.3368252,0.30151352,0.36166131,0.31672736786034567,0.3805438272391062,0.28529985559224125,0.2992786649841425,0.2988692380317301,0.40185210195118115,0.326247748598473
5,3,17,0,14,2,6,1.0,1.5913,0.8780459700676321,0.5,0.0,1.369,-1.0,1,1.0,0.4805194805194806,0.7447979346539697,4.0,4.555570136825407,1,0.9411453422872571,0.8333333333333334,0.3333333333333333,0.5,12.833333333333334,4.166666666666667,3.3333333333333335,12.833333333333334,0.6701628210656309,0.1625,0.2744,0.3861,0.4805194805194806,0.16744483338909502,0.5885,0.9484240119691627,1.3083480239383254,0,16,Ingolstadt,6.0,3.8,1.62,,,,4.6,3.9,1.67,42,23.0,-0.75,1.95,1.85,5.36,2.0,1.85,3.83,1.64,2.05,1.92,6.0,2.06,1.9,4.1,1.69,37,3.04,0.2835,0.2834,0.2679,0.24246343448668461,07/11/15,D1,1,0,0,D,1.25615514914967,,,,0,-0.75,4,17,0.1288,1,11,5,0,0,D,1,-1.0,0.7805,2.1342011192173023,3.0,3.0,2.8104,-1.0,1,0.0,0.5194805194805195,2.012738630859346,12.0,5.622712823054316,-10,1.2212481085097662,2.0,0.4000000000000001,1.6000000000000003,15.0,6.599999999999999,4.0,11.800000000000002,1.0352298164555918,0.554,0.4422,0.346,0.5194805194805195,0.5900917321242204,1.3479,1.2858276532682638,1.2237553065365274,0.75,0,17,M'gladbach,5.4,3.7,1.6,5.25,3.8,1.65,1.3428571428571427,11.333333333333334,4.3238095238095235,1.4952380952380953,14.21904761904762,5.038095238095238,0.3061,0.3865,0.4644,-1.0,0.513157894736842,5.6,5.85,4.04,1.66,4.03,1.68,0,,,,,,,0.6939,0.6135,0.5356,0.95,0.48684210526315796,,,,5.2,4.1,1.65,5.5,3.5,1.67,11,0.18812301227503223,0.16666112500000002,0.1354181,0.134394605,16,0.7594000000000001,yellow,1.8581897,1.361944,-0.49624574,-0.25375425815582275,1.1026095037437287,1.0977144148589648,-0.004895088884763865,-0.7451049111152361,1.7810019,0.8658488,-0.91515315,0.1651531457901001,-0.27790200782698626,0.24666690497965976,0.2724126162627888,0.4809204787575516,0.33660844,0.22412118,0.43927035,0.5600431,0.25013757,0.18981943,0.14606453445031853,0.15313184989841355,0.17483982514025342,0.49341130755223545,0.2488904556466325,0.25769825666934704,0.15493154983540952
6,4,20,0,15,4,4,0.98,0.7941,0.981387813348226,-0.75,-2.0,2.0052,2.45,3,1.0,0.4870466321243523,1.1186717416427232,3.0,3.0568955098034314,1,1.2336422063942638,1.6000000000000003,0.4000000000000001,1.2,14.0,5.400000000000001,4.0,11.4,0.8015971222425924,0.4309,0.4572,0.4833,0.4870466321243523,0.2842905459133367,1.6401999999999999,1.7182401799654174,1.7962803599308352,1,6,Werder Bremen,3.3,3.4,2.2,,,,3.1,3.4,2.2,42,23.0,-0.25,2.07,1.74,3.25,1.98,1.88,3.45,2.18,2.17,1.8,3.51,2.04,1.91,3.6,2.25,36,-1.0,0.2395,0.2357,0.2313,0.26580010390271314,08/11/15,D1,0,2,1,A,-0.5164474129201738,,,,-1,-1.25,7,13,0.1288,0,18,6,0,0,D,1,-1.0,0.365,0.4649404004280522,-0.25,0.0,2.0728,-1.0,0,0.0,0.5129533678756476,1.6155281544545637,2.0,4.301626613128649,-10,1.122793240465528,1.0,-0.6666666666666666,1.6666666666666667,19.666666666666668,5.833333333333333,4.166666666666667,12.666666666666666,1.094640858754589,0.3296,0.3071,0.2855,0.5129533678756476,0.4499093501839502,1.4075,1.3702800442339838,1.3330600884679675,0.25,0,1,Augsburg,3.3,3.3,2.1,3.25,3.4,2.15,1.330188679245283,11.358490566037736,4.30188679245283,1.4811320754716981,14.18867924528302,5.037735849056604,0.5874,0.5963,0.6052,0.74,0.5433070866141733,3.51,3.45,3.69,2.18,3.59,2.19,-1,,,,,,,0.4126,0.4037,0.3948,-1.0,0.45669291338582685,,,,3.3,3.6,2.2,3.1,3.5,2.2,11,0.3573292230259869,0.21625548499999997,0.19447112499999997,0.17429624499999996,16,-0.2326999999999999,red,1.604617,1.3782234,-0.22639358,-0.023606419563293457,1.1013257233848124,1.0995421203945177,-0.0017836029902946748,-0.24821639700970533,1.3387654,1.3607683,0.022002935,-0.2720029354095459,-0.18127525066084824,0.3149323340600403,0.29251313540717055,0.392554530532789,0.34404632,0.23484834,0.42110538,0.4134886,0.29699948,0.2895119,0.31170838317912114,0.30380251409497483,0.33788306639746013,0.40904950401240975,0.27478698503103555,0.3161635159236084,0.31747692024003227
7,3,16,0,9,3,4,1.04,1.0473,0.5938054192202563,-0.5,0.0,2.0785,-1.0,0,1.0,0.4715025906735752,0.4443337498776281,4.0,6.736213363044952,1,1.0098590355501758,1.2,-0.0,1.2,12.199999999999998,4.4,6.0,15.800000000000002,1.065538626169209,0.0984,0.096,0.0925,0.4715025906735752,0.09731588070324962,0.9863999999999999,0.8700631962148686,0.7537263924297373,0,15,Schalke 04,8.5,6.0,1.3,,,,9.0,5.25,1.33,42,24.0,-1.5,3.03,1.37,8.73,2.04,1.82,5.6,1.31,3.35,1.43,10.0,2.09,1.89,6.0,1.4,36,-1.0,0.147,0.1519,0.1592,0.15238610776787923,08/11/15,D1,0,2,3,H,0.5747558825629256,,,,1,-0.5,5,10,0.1288,0,14,7,1,2,H,3,-1.0,1.0921,1.168561301783182,0.75,2.0,3.8204,0.31000000000000005,3,0.0,0.5284974093264249,2.4032801423544923,9.0,7.701778234711631,-10,1.579900322693325,3.4,2.6,0.8000000000000002,17.8,7.2,2.7999999999999994,5.0,0.5584711043673308,0.7546,0.7521,0.7483,0.5284974093264249,0.750298011528871,2.9019,2.6938672030544666,2.485834406108933,1.5,1,3,Dortmund,7.3,4.4,1.4,8.5,5.75,1.3,1.336448598130841,11.392523364485982,4.299065420560748,1.4766355140186915,14.22429906542056,5.046728971962617,0.7451,0.6908,0.6283,0.3700000000000001,0.6886363636363636,9.0,10.1,6.45,1.31,5.97,1.35,1,,,,,,,0.2549,0.3092,0.3717,-1.0,0.31136363636363634,,,,9.5,6.0,1.3,9.0,4.5,1.36,11,0.035910731841742496,0.03495185999999999,0.035335205,0.03595457000000001,16,1.9155,green,2.07346,0.8606787,-1.2127814,-0.2872185707092285,1.105808445743304,1.0960684683582986,-0.009739977385005316,-1.4902600226149947,2.3658285,0.8179525,-1.547876,0.04787600040435791,-0.5765341976399551,0.08585655837353419,0.16413148317796084,0.7500119584485048,0.23281445,0.09708536,0.67010015,0.7794092,0.14730087,0.07328987,0.034932684767250116,0.08151824825482734,0.027015848754177174,0.7331737802321432,0.13617256970558594,0.13065362522700213,0.044133303915099474
8,7,9,0,21,7,1,-1.0,1.0921,1.271273023060221,-0.5,1.0,3.8204,-1.0,0,0.0,0.4728682170542636,2.352846618946841,12.0,9.439357071475868,-10,1.433917456658505,2.5,1.0,1.5,14.333333333333334,5.666666666666667,4.333333333333333,8.5,0.7965148394209096,0.7771,0.6758,0.526,0.4728682170542636,0.7241583574498511,2.8592999999999997,2.1913786121263934,1.5234572242527866,0,3,Dortmund,1.36,5.0,8.5,,,,1.36,5.25,7.75,43,27.0,1.5,2.41,1.55,1.37,2.04,1.83,5.06,8.01,2.7,1.6,1.42,2.11,1.9,5.5,9.0,33,-1.0,0.1405,0.1902,0.2591,0.18037154659728766,20/11/15,D1,0,1,3,H,-0.24367987108283673,,,,2,3.5,2,17,0.1288,0,7,2,0,2,H,0,0.8300000000000001,0.9611,1.0275931519773842,-0.0,0.0,1.8101,9.24,3,1.0,0.5271317829457364,0.46678183445587135,5.0,4.865738926323677,1,0.7329328429455699,0.8000000000000002,-0.20000000000000004,1.0,12.6,3.6,3.6,8.8,0.7913377173564181,0.0823,0.134,0.2149,0.5271317829457364,0.09547009595286124,0.8468,0.8585411740672284,0.8702823481344567,-1.5,1,12,Hamburg,1.4,4.6,7.0,1.36,5.0,7.5,1.3425925925925926,11.370370370370372,4.287037037037037,1.4907407407407407,14.222222222222221,5.064814814814815,0.7156,0.5879,0.4287,0.55,0.6085858585858586,1.4,1.35,5.42,10.24,5.27,8.55,2,,,,,,,0.2844,0.4121,0.5713,-1.0,0.3914141414141414,,,,1.36,5.4,8.0,1.33,5.0,9.0,11,0.6712898369899962,0.7231065649999999,0.6033308199999999,0.44652900500000003,16,-2.0124999999999997,green,0.6351805,2.9398012,2.3046207,-0.8046207427978516,1.0998956024616144,1.1006492553641976,0.0007536529025831129,1.4992463470974169,0.76521814,1.8477639,1.0825458,0.41745424270629883,0.37069328233528803,0.6626294138413127,0.15387703846460027,0.18349354769408674,0.6984747,0.21002032,0.09150498,0.07746739,0.15023877,0.77229387,0.5528802633724352,0.6566150491197558,0.7237520990277242,0.1174886402342716,0.1713787081194104,0.7111326615804253,0.6422679741765391
9,8,19,0,17,11,1,0.97,1.2072,0.5275133404878072,-2.0,-1.0,1.9705,0.8600000000000001,3,1.0,0.49095607235142114,1.8366508400292183,4.0,7.582746620779451,1,0.9341527205053658,0.8333333333333334,-0.5,1.3333333333333333,11.833333333333334,4.5,4.5,12.0,0.8744729317173542,0.3465,0.3998,0.4517,0.49095607235142114,0.5273009495982469,1.1728,1.3429874395868426,1.5131748791736852,1,4,Leverkusen,1.95,3.6,3.8,,,,1.95,3.6,3.6,43,25.0,0.5,2.14,1.7,1.97,1.97,1.9,3.59,3.73,2.25,1.77,2.1,2.02,1.94,3.8,3.9,37,-1.0,0.2758,0.2665,0.2549,0.2547479912344777,21/11/15,D1,0,3,1,A,0.6788286605330773,,,,-2,-1.5,3,15,0.1288,0,9,1,2,1,A,2,-1.0,0.7977,1.2063420010208845,0.25,0.0,2.3158,-1.0,0,0.0,0.5090439276485788,0.9086011687363038,5.0,4.144761598094634,-10,0.8882962034456039,1.8,0.0,1.8,11.0,4.0,5.0,13.4,1.2093301543012318,0.3777,0.3337,0.2934,0.5090439276485788,0.2179510591672754,1.2373999999999998,1.203074869645493,1.1687497392909862,-0.5,0,10,Ein Frankfurt,2.1,3.3,3.3,1.95,3.6,3.6,1.3394495412844034,11.458715596330274,4.3119266055045875,1.5045871559633028,14.155963302752292,5.036697247706422,0.433,0.4679,0.5019,0.7,0.5572916666666667,2.02,1.86,3.85,4.5,3.75,3.87,-2,,,,,,,0.567,0.5321,0.4981,-1.0,0.44270833333333337,,,,2.0,3.75,3.7,2.0,3.4,3.75,11,0.13547352822142814,0.28485976999999996,0.23579786500000005,0.193358225,16,0.06459999999999977,red,1.3078566,2.0016806,0.69382405,-0.19382405281066895,1.0993106033788442,1.1008640170326263,0.001553413653782032,0.49844658634621797,0.99805087,1.5714589,0.57340807,-0.07340806722640991,0.07707148876971304,0.4380843961433846,0.24182764184338956,0.3200879620132258,0.38429278,0.30905995,0.3066473,0.26874828,0.2800942,0.45115745,0.20910272464166246,0.2365639914160167,0.18672685917221266,0.2984945153732237,0.27699393196855354,0.4245115427241153,0.21014296436587254
