,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,Unnamed: 70,Unnamed: 71,Unnamed: 72,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,4.0,10.0,0.0,12.0,2.0,1.0,-1.0,0.9804,0.6985900226944908,0.5,2.0,2.599,-1.0,0,0.0,0.4779220779220779,0.8112579537151863,6.0,8.588728445988608,-10,1.254321612277595,1.3999999999999997,0.6,0.8000000000000002,15.800000000000002,5.0,3.4,9.6,0.6290001385773749,0.2012,0.2034,0.204,0.4779220779220779,0.1778720855040129,1.1358000000000001,0.9878793259019013,0.8399586518038025,0,11,Napoli,4.75,3.5,1.8,,,,4.75,3.5,1.87,54.0,29.0,-0.5,1.71,2.1,4.58,2.01,1.84,3.46,1.84,1.8,2.21,5.02,2.1,1.88,3.65,1.91,46.0,-1.0,0.2094,0.2298,0.2566,0.27764169720314763,29/10/16,I1,0,1,2,H,0.26613996772864323,,,,1,0.5,3.0,11.0,0.3788,0.0,10.0,3.0,0.0,0.0,D,4.0,0.8400000000000001,1.4632,0.964729990423134,1.0,3.0,2.6818,0.8,3,1.0,0.522077922077922,1.9111003490816663,9.0,9.329035159415504,1,1.564819933732153,3.0,2.2,0.8000000000000002,19.6,7.8,2.2,6.2,0.5675014756724851,0.5894,0.5668,0.5394,0.522077922077922,0.5444862172928395,2.0802,1.8127534848054379,1.5453069696108757,0.5,1,0,Juventus,4.5,3.5,1.75,4.5,3.4,1.8,1.18,12.06,4.02,1.57,14.28,5.11,0.6234,0.5307,0.4264,1.1,0.4488188976377953,4.96,5.51,3.53,1.8,3.57,1.85,1,,,,,,,0.3766,0.4693,0.5736,-1.0,0.5511811023622047,,,,4.8,3.4,1.85,4.5,3.6,1.85,11,0.11956564251886653,0.10453689999999997,0.11451690000000002,0.12688418,17,0.9443999999999999,green,1.9230192,0.91976213,-1.003257,0.5032570362091064,1.1022087492971042,0.9026976478999817,-0.19951110139712247,-0.30048889860287753,1.6608144,0.90435517,-0.75645924,0.25645923614501953,0.15307579125041615,0.18817971522263158,0.27683832155901394,0.5349819632183547,0.1943332,0.20511007,0.60055673,0.5682271,0.2571771,0.17459585,0.12582668987676315,0.09866015795803662,0.10845575529247142,0.5679219355785526,0.24637516971176932,0.1857029195449467,0.1105885094288691
1,3.0,14.0,0.0,10.0,2.0,2.0,-1.0,1.2795,1.178133049894379,3.0,3.0,1.7904,-1.0,0,0.0,0.5064935064935064,1.1497286154941273,7.0,5.941603964533173,-10,1.231748949579832,1.25,-0.0,1.25,14.5,5.5,4.75,10.5,0.8250744293697619,0.3013,0.363,0.4102,0.5064935064935064,0.2805937833669474,0.8199,1.1594996195207983,1.4990992390415965,0,6,Genoa,3.3,3.2,2.3,,,,3.2,3.3,2.3,55.0,30.0,-0.25,1.7,2.13,3.29,1.9,1.95,3.19,2.31,1.76,2.22,3.55,1.96,2.0,3.31,2.46,47.0,-1.0,0.3329,0.2838,0.2501,0.30794726539328504,30/10/16,I1,0,0,3,H,1.2259918222527524,,,,3,2.75,3.0,12.0,0.3788,0.0,15.0,9.0,0.0,2.0,H,1.0,0.95,0.9705,2.4041248721471313,1.0,1.0,1.8377,1.38,3,1.0,0.49350649350649356,1.5423241191125874,10.0,4.159517717176217,1,1.0334050735254752,1.6000000000000003,0.20000000000000004,1.3999999999999997,15.6,5.0,4.4,10.4,1.032957838307737,0.3658,0.3532,0.3397,0.49350649350649356,0.41145895123976745,0.9369999999999998,1.139634357000737,1.342268714001474,0.25,1,2,Atalanta,3.0,3.2,2.3,3.3,3.1,2.25,1.1782178217821782,12.05940594059406,4.0,1.574257425742574,14.237623762376238,5.089108910891089,0.2579,0.4037,0.5403,1.13,0.44386422976501305,3.55,3.49,3.18,2.38,3.25,2.32,3,,,,,,,0.7421,0.5963,0.4597,-1.0,0.556135770234987,,,,3.5,3.13,2.3,3.2,3.25,2.4,11,0.2125567186699859,0.246495665,0.27505962000000006,0.302130065,17,0.11709999999999987,green,1.1298447,1.0411143,-0.088730335,-0.1612696647644043,1.1003171187490697,0.9054819369654382,-0.19483518178363146,-0.05516481821636854,1.1340083,1.1137407,-0.020267606,-0.22973239421844482,-0.14872229239973922,0.2560976722613858,0.3187352957018065,0.4251670320368077,0.41873598,0.3570355,0.22422852,0.2878887,0.3022144,0.40989685,0.1980094793975363,0.3885806146487545,0.3375589739891489,0.3124280846627641,0.32599506582445065,0.361576834611624,0.30174647843205327
2,5.0,21.0,0.0,16.0,3.0,2.0,-1.0,1.1766,0.9183449106848223,-0.25,0.0,1.8499,-1.0,0,0.0,0.5142857142857141,1.5353194477813303,5.0,5.4445774586712,-10,0.8716034723447956,0.8000000000000002,-0.0,0.8000000000000002,12.800000000000002,3.2000000000000006,3.4,10.6,0.653630852372034,0.6193,0.611,0.6022,0.5142857142857141,0.4107708514295219,1.7553,1.687824680186334,1.620349360372668,0,4,Chievo,2.2,3.2,3.5,,,,2.25,3.2,3.4,55.0,30.0,0.25,1.6,2.3,2.22,1.87,1.98,3.17,3.5,1.66,2.43,2.35,1.92,2.04,3.32,3.8,45.0,-1.0,0.2299,0.2373,0.2452,0.3030068934927646,30/10/16,I1,0,0,2,H,-0.46469929929624754,,,,2,2.25,4.0,19.0,0.3788,0.0,9.0,7.0,0.0,1.0,H,1.0,0.98,0.0946,0.45364561138857473,1.5,0.0,1.526,2.43,3,1.0,0.4857142857142857,1.1616736587259051,1.0,2.2043638798556344,1,0.6481040309949213,1.0,-1.25,2.25,11.0,2.75,7.25,13.75,1.593466437878083,0.1508,0.1517,0.1526,0.4857142857142857,0.2862222550777135,0.7282,0.7005047451627635,0.6728094903255272,-0.25,1,13,Crotone,2.2,3.2,3.2,2.15,3.1,3.5,1.1666666666666667,12.03921568627451,3.980392156862745,1.588235294117647,14.245098039215685,5.127450980392157,0.4519,0.4272,0.4021,-1.0,0.41025641025641024,2.24,2.39,3.24,3.43,3.22,3.72,2,,,,,,,0.5481,0.5728,0.5979,0.6000000000000001,0.5897435897435896,,,,2.2,3.1,3.8,2.3,3.3,3.3,11,0.33910568076523956,0.552336565,0.546466945,0.5403658,17,-1.0271000000000001,green,0.9590728,1.3239312,0.3648584,-0.11485838890075684,1.1002177390585524,0.9056975425659103,-0.19452019649264207,0.4445201964926421,0.9108752,1.5128975,0.6020223,-0.35202229022979736,-0.007453494212637375,0.4518079229112548,0.2856401899857275,0.2625518871030177,0.48565325,0.25658712,0.25775963,0.11491068,0.2534665,0.63162285,0.3739800592103514,0.39338992322640687,0.5911652582519802,0.211740731619496,0.2652312649423199,0.5230280084052378,0.4474554832841502
3,8.0,13.0,0.0,23.0,5.0,3.0,-1.0,1.0566,1.7154248311516787,1.25,2.0,3.0453,-1.0,1,0.0,0.4857142857142857,2.0430042528278807,12.0,6.995351694858936,-10,1.4146150013004832,1.8,0.20000000000000004,1.6000000000000003,17.2,5.2,5.2,16.0,1.0528903946771186,0.7906,0.7036,0.6214,0.4857142857142857,0.6031590395796198,1.9612,1.9690270819803424,1.9768541639606847,0,1,Roma,1.55,4.2,6.0,,,,1.55,4.1,6.25,55.0,34.0,1.0,2.06,1.74,1.58,1.98,1.87,4.09,5.82,2.14,1.8,1.65,2.04,1.92,4.3,6.39,46.0,3.21,0.1709,0.1973,0.2123,0.23352713408902145,30/10/16,I1,1,0,0,D,-1.0624989002679408,,,,0,1.0,4.0,18.0,0.3788,0.0,8.0,3.0,0.0,0.0,D,6.0,0.8700000000000001,1.0841,0.6529259308837377,-0.5,-2.0,0.9245,-1.0,1,1.0,0.5142857142857141,0.7234686130830981,2.0,3.0631345844895335,1,0.5430776369987844,0.4000000000000001,-1.0,1.3999999999999997,8.8,3.4,4.8,14.6,1.2095578263656344,0.0385,0.0992,0.1663,0.5142857142857141,0.16331382633135885,0.24670000000000003,0.5785703947564786,0.9104407895129573,-1.0,0,5,Empoli,1.6,3.7,5.4,1.57,4.0,5.5,1.1553398058252426,12.077669902912623,3.970873786407767,1.5922330097087378,14.194174757281553,5.145631067961165,0.3794,0.4683,0.5511,-1.0,0.5421052631578948,1.6,1.63,4.21,6.02,4.22,6.39,0,,,,,,,0.6206,0.5317,0.4489,1.06,0.4578947368421053,,,,1.62,3.9,6.0,1.6,4.0,6.0,11,0.19523611644879926,0.313265305,0.252376445,0.20689682500000003,17,-1.7145000000000001,yellow,1.2660302,1.6137973,0.3477671,0.6522328853607178,1.0999057117452815,0.907205793947864,-0.19269991779741746,1.1926999177974174,0.9659277,1.5852228,0.6192951,0.3807048797607422,0.7418792276396258,0.5508627318196014,0.30697492473652865,0.1421623434438701,0.43889388,0.4313087,0.12979738,0.09074441,0.23193763,0.677318,0.16182994060060338,0.10473762097606465,0.23349708009653997,0.12090138034073498,0.32340708114481936,0.5556915310638652,0.1617051148724234
4,4.0,11.0,0.0,14.0,5.0,1.0,-0.5,0.4896,0.7846540479812851,-1.25,-2.0,2.0097,-1.0,0,0.25,0.4689119170984456,0.6187295187723971,4.0,5.097788012807658,-10,1.0278170840760037,1.3999999999999997,-0.6,2.0,10.6,4.2,5.0,12.800000000000002,1.0225186660029866,0.1069,0.1373,0.1741,0.4689119170984456,0.13649301237265019,0.8905000000000001,0.9430168594911239,0.9955337189822479,0,17,Sassuolo,5.5,3.75,1.67,,,,5.5,4.0,1.62,55.0,29.0,-0.75,2.13,1.69,5.23,2.05,1.81,4.01,1.64,2.22,1.76,5.75,2.11,1.85,4.25,1.71,47.0,-1.0,0.1607,0.1831,0.207,0.20925048165444665,30/10/16,I1,0,1,2,H,0.3776618403404568,,,,1,0.25,10.0,17.0,0.3788,0.0,14.0,6.0,0.0,0.0,D,2.0,0.405,1.1192,1.162315888321742,2.0,3.0,2.6934,0.5,3,0.75,0.5310880829015544,2.172019999573156,8.0,6.882810499606206,1,1.280288700846192,2.0,1.3999999999999997,0.6,17.0,7.0,4.0,11.0,0.846499137728596,0.7325,0.6797,0.6189,0.5310880829015544,0.6542565059729032,2.5826000000000002,2.3234900552693416,2.0643801105386825,0.75,1,10,Lazio,5.1,3.6,1.65,5.25,3.8,1.62,1.1442307692307692,12.182692307692308,3.9807692307692313,1.5769230769230769,14.134615384615385,5.125,0.6741,0.6338,0.5901,0.69,0.5575916230366492,5.75,7.19,4.69,1.5,4.25,1.64,1,,,,,,,0.3259,0.3662,0.4099,-1.0,0.4424083769633508,,,,5.0,4.1,1.67,5.5,3.8,1.67,11,0.06908445304431278,0.04148124499999998,0.060707965000000016,0.08777401,17,1.6921000000000002,green,1.807254,0.7677544,-1.0394995,0.28949952125549316,1.1053568084893208,0.899961479439471,-0.2053953290498498,-0.5446046709501502,1.8634821,0.7261095,-1.1373726,0.38737261295318604,0.04408915441950967,0.12156535545639269,0.251368702967254,0.6270659415763534,0.18609351,0.2373049,0.57660156,0.655024,0.2309088,0.11406721,0.07692897378978546,0.10694852005795008,0.06600988742443914,0.619563832840718,0.23986079842490873,0.14057535880026575,0.08224655578882507
5,5.0,14.0,0.0,14.0,6.0,2.0,0.44499999999999995,0.8129,0.19725452898147103,-1.0,-1.0,1.5704,-1.0,0,0.75,0.5090909090909091,0.513083632632119,1.0,5.069592090805349,1,1.0331136414765836,1.25,-0.5,1.75,13.25,3.75,5.5,13.25,1.0300801419965577,0.0926,0.1911,0.3078,0.5090909090909091,0.1070145862346991,0.5441,0.9245385865769813,1.3049771731539626,0,9,Pescara,8.0,4.75,1.4,,,,8.25,4.75,1.4,55.0,30.0,-1.25,2.24,1.63,7.62,1.89,1.96,4.58,1.43,2.36,1.69,8.51,1.93,2.03,4.85,1.51,45.0,-1.0,0.1952,0.2305,0.2433,0.1920398739280217,30/10/16,I1,0,0,1,H,1.3784009035146791,,,,1,-0.25,5.0,11.0,0.3788,0.0,18.0,9.0,0.0,0.0,D,1.0,-0.5,1.0263,1.5756554324961503,-3.0,-3.0,2.4012,0.3999999999999999,3,0.25,0.49090909090909085,2.294876493439859,9.0,5.711908717086843,-10,0.9972332665629438,2.0,0.8000000000000002,1.2,13.0,4.6,3.7999999999999994,15.800000000000002,1.1052559763684027,0.7122,0.5784,0.4489,0.49090909090909085,0.7009455398372791,1.9670999999999998,1.7955510032424988,1.624002006484998,1.25,1,7,Milan,7.3,4.4,1.4,7.5,4.5,1.4,1.1428571428571428,12.199999999999998,3.9904761904761905,1.5809523809523809,14.133333333333333,5.133333333333334,0.4591,0.5113,0.5607,-1.0,0.578811369509044,8.51,9.17,5.11,1.4,4.85,1.44,1,,,,,,,0.5409,0.4887,0.4393,1.2400000000000002,0.42118863049095606,,,,8.0,4.5,1.44,8.0,4.5,1.44,11,0.050442845905100134,0.04570179999999998,0.10713288499999998,0.19922602499999995,17,1.4229999999999998,green,1.9819039,1.0287583,-0.9531456,-0.2968543767929077,1.102820850094064,0.9019043952930649,-0.20091645480099907,-1.049083545199001,1.8387926,0.7750095,-1.063783,-0.18621695041656494,-0.5107182908028246,0.10435453776549236,0.22232240421451732,0.6733230580199903,0.11536995,0.2168098,0.6678202,0.7317064,0.19766608,0.07062755,0.05880384698683011,0.061826822056805786,0.038484857767823843,0.6909498846964421,0.2122660924423986,0.09678401292705184,0.0524395604251659
6,5.0,14.0,0.0,14.0,3.0,3.0,-1.0,0.9049,0.44929715254492014,0.75,1.0,1.994,-1.0,0,0.0,0.5297157622739017,1.6277109411096649,3.0,6.677095510192586,-10,1.1372430161253693,1.2,-0.20000000000000004,1.3999999999999997,14.4,4.6,5.599999999999999,12.199999999999998,0.9512295755083666,0.3844,0.3135,0.2423,0.5297157622739017,0.4520028074927608,1.3927,1.157207207039994,0.9217144140799878,0,15,Inter,2.05,3.5,3.6,,,,2.15,3.5,3.6,55.0,29.0,0.25,1.95,1.83,2.11,1.82,2.05,3.42,3.52,2.05,1.9,2.25,1.87,2.12,3.56,3.7,48.0,-1.0,0.2566,0.2654,0.2684,0.27170251863138256,30/10/16,I1,0,0,1,H,0.5892036755785324,,,,1,1.25,4.0,15.0,0.3788,0.0,9.0,3.0,0.0,1.0,H,1.0,1.0499999999999998,0.6013,1.0385008281234525,-1.0,-3.0,1.8635,2.55,3,1.0,0.47028423772609823,1.1005865402589523,5.0,4.81463265564736,1,0.9562920696920038,1.25,0.25,1.0,14.25,5.25,2.75,7.75,0.7159253160723749,0.359,0.4211,0.4893,0.47028423772609823,0.2762946738758566,1.3374,1.3852665142407015,1.433133028481403,-0.25,1,16,Sampdoria,2.1,3.3,3.3,2.1,3.4,3.4,1.1320754716981132,12.21698113207547,4.009433962264151,1.5754716981132075,14.169811320754716,5.169811320754717,0.5137,0.467,0.4185,-1.0,0.5158730158730157,2.18,2.17,3.61,3.55,3.47,3.67,1,,,,,,,0.4863,0.533,0.5815,0.95,0.48412698412698413,,,,2.15,3.4,3.6,2.1,3.5,3.5,11,0.36402796852089525,0.27932218,0.21670372999999996,0.15976188999999996,17,-0.05530000000000013,green,1.0920703,1.7752194,0.6831491,-0.4331490993499756,1.0998827677621703,0.9062616414584316,-0.19362112630373873,0.44362112630373873,0.7981882,1.5500695,0.75188124,-0.5018812417984009,-0.16380307161487925,0.4594592672634354,0.2512395541121818,0.2893011786243828,0.60214865,0.2074271,0.19042428,0.09829354,0.23815817,0.6635483,0.35809781648947214,0.5089979061729754,0.626685434487273,0.192672999954936,0.23227493995594506,0.5750520700232264,0.49123087840725116
7,4.0,16.0,0.0,12.0,3.0,3.0,-0.5,0.5454,0.2906007368908926,-2.0,-2.0,1.3148,-1.0,0,0.25,0.5090909090909091,0.8113657438071267,1.0,3.4411475025799905,-10,0.7310001273236567,1.0,-0.4000000000000001,1.3999999999999997,7.400000000000001,3.0,4.8,18.0,1.0504576516515507,0.2073,0.2179,0.2293,0.5090909090909091,0.18545502715591466,1.3148,1.2404811975663281,1.1661623951326565,0,8,Palermo,5.0,3.5,1.73,,,,4.75,3.7,1.75,52.0,28.0,-0.75,2.1,1.71,4.62,1.89,1.96,3.79,1.75,2.22,1.77,5.0,1.94,2.01,3.96,1.82,45.0,-1.0,0.1963,0.2085,0.2227,0.2550006623393827,31/10/16,I1,0,1,2,H,1.1077940338404777,,,,1,0.25,2.0,19.0,0.3788,0.0,8.0,4.0,0.0,0.0,D,5.0,0.48,0.0,1.3983947707313704,-2.0,-3.0,2.4869,0.75,3,0.75,0.49090909090909085,1.9336335938534903,6.0,4.2906338936478985,1,1.1629253763816878,2.4,0.6,1.8,12.4,6.2,5.400000000000001,16.8,1.422473262032086,0.5963,0.5736,0.5481,0.49090909090909085,0.5595443105047025,2.3203,2.119166114329644,1.9180322286592877,0.75,1,12,Cagliari,4.2,3.5,1.8,4.5,3.75,1.75,1.1214953271028036,12.233644859813085,4.0,1.5700934579439252,14.121495327102801,5.149532710280374,0.7034,0.6524,0.5954,0.71,0.5511811023622047,4.94,5.28,3.84,1.75,3.96,1.77,1,,,,,,,0.2966,0.3476,0.4046,-1.0,0.4488188976377953,,,,5.0,3.75,1.75,5.0,3.75,1.75,11,0.11419739075308949,0.10299422499999997,0.114648685,0.12837312499999998,17,1.0055,green,2.0189624,1.2068605,-0.81210184,0.06210184097290039,1.1019636580591585,0.9022571776636014,-0.19970648039555716,-0.5502935196044428,1.6442418,0.7492144,-0.8950274,0.14502739906311035,-0.11438809318947736,0.20596294637364265,0.2639218103625626,0.5301152432637947,0.20387985,0.3076585,0.48846164,0.59629554,0.25073737,0.15296714,0.13160620994597744,0.15161924438043872,0.0931881134363497,0.5382908074285434,0.27410589098063615,0.187603311524928,0.12418518863638137
8,4.0,19.0,0.0,13.0,3.0,3.0,0.0,0.8267,1.1993310457516633,-0.75,-1.0,2.7869,-1.0,1,0.5,0.5298701298701299,1.3461558917161156,7.0,5.8365870080623585,0,1.200100505910231,1.6000000000000003,-0.0,1.6000000000000003,13.4,4.6,4.2,18.0,1.040525134203638,0.487,0.4592,0.4267,0.5298701298701299,0.3526140240242522,2.1475,1.8717717497441972,1.5960434994883945,0,18,Torino,2.45,3.25,2.88,,,,2.5,3.3,2.9,52.0,28.0,0.0,1.91,1.86,2.53,1.81,2.04,3.23,2.88,2.0,1.92,2.62,1.86,2.12,3.47,3.0,45.0,2.4,0.209,0.2241,0.243,0.2883138196433591,31/10/16,I1,1,2,2,D,0.0904904360449088,,,,0,0.0,4.0,13.0,0.3788,0.0,16.0,5.0,1.0,0.0,A,2.0,0.0,0.6394,1.289821481796572,2.0,2.0,2.1237,-1.0,1,0.5,0.4701298701298701,1.365530288640525,6.0,4.651806536546975,0,0.8406973670025988,1.6000000000000003,0.0,1.6000000000000003,11.6,3.7999999999999994,4.2,14.199999999999998,1.187040372530295,0.304,0.3167,0.3303,0.4701298701298701,0.35907215633238865,1.6758,1.5263738236400655,1.3769476472801307,-0.0,0,19,Udinese,2.5,3.2,2.75,2.5,3.1,2.88,1.1203703703703705,12.231481481481481,3.990740740740741,1.5740740740740742,14.064814814814815,5.138888888888889,0.7348,0.6599,0.5707,0.8600000000000001,0.5066312997347481,2.62,2.78,3.4,2.73,3.29,3.0,0,,,,,,,0.2652,0.3401,0.4293,-1.0,0.49336870026525204,,,,2.6,3.25,2.88,2.6,3.25,2.9,11,0.12663473169588363,0.1647925,0.155581765,0.14558549,17,-0.4717,yellow,1.3131819,1.3479886,0.03480673,-0.03480672836303711,1.10019253032124,0.9062616519806347,-0.1939308783406054,0.1939308783406054,1.2879293,1.0342373,-0.25369203,0.25369203090667725,0.13760539362808186,0.3273364211243468,0.2766909437141499,0.3959726351615033,0.35494742,0.2337957,0.4112569,0.47366136,0.29503387,0.23130476,0.1319717301956204,0.14755994693757124,0.1389284905561201,0.42696363588559105,0.26850683943303694,0.3045295346154795,0.13751808888565295
9,2.0,15.0,0.0,7.0,3.0,2.0,0.71,1.1192,1.054833057381464,0.25,1.0,2.6934,-1.0,1,1.0,0.5592783505154639,0.8163119772896795,8.0,7.584138498521595,1,1.3491007685434566,2.0,0.4000000000000001,1.6000000000000003,14.199999999999998,5.0,5.0,14.800000000000002,1.0125479637635677,0.3601,0.2735,0.1984,0.5592783505154639,0.19143390318605685,1.713,1.516845359092748,1.320690718185496,0,10,Lazio,5.0,4.0,1.67,,,,4.75,3.9,1.72,51.0,31.0,-1.0,2.33,1.58,4.89,1.71,2.17,3.87,1.71,2.45,1.64,5.5,1.77,2.27,4.16,1.79,43.0,3.05,0.2209,0.2101,0.1912,0.2420102677315089,05/11/16,I1,1,1,1,D,-0.25050129919264563,,,,0,-1.0,9.0,12.0,0.3788,0.0,18.0,8.0,0.0,0.0,D,0.0,-1.0,0.9804,0.8043317581888183,-0.5,-1.0,2.599,-1.0,1,0.0,0.44072164948453607,1.9416777549788113,6.0,7.459608474879453,-10,1.504818121192117,2.4,1.2,1.2,21.399999999999995,7.599999999999999,3.2000000000000006,9.8,0.8675172564611254,0.419,0.5163,0.6104,0.44072164948453607,0.5665558290824342,1.8586000000000003,2.131485734885259,2.404371469770518,1.0,0,11,Napoli,4.5,3.5,1.75,5.0,3.8,1.67,1.128440366972477,12.238532110091745,3.981651376146789,1.5779816513761469,14.082568807339449,5.137614678899083,0.6922,0.7057,0.7188,-1.0,0.5959079283887467,5.5,5.12,4.05,1.73,3.98,1.7,0,,,,,,,0.3078,0.2943,0.2812,1.33,0.4040920716112532,,,,5.0,4.0,1.7,4.2,4.0,1.75,11,0.1788162233781665,0.152616505,0.170711325,0.20597536,17,0.14560000000000017,yellow,2.054019,1.3655567,-0.68846226,-0.3115377426147461,1.1043721125744095,0.9023851923143197,-0.2019869202600898,-0.7980130797399102,2.0463386,0.8348086,-1.21153,0.21152997016906738,-0.29934028406186297,0.1728180927187591,0.23585253427932198,0.5913293730019188,0.17739232,0.26486725,0.55774045,0.7029288,0.21154809,0.085523054,0.18976826027289603,0.17127121947955182,0.25071153869217255,0.6173328681389045,0.23742262347045717,0.14524448852242328,0.20109791865112214
